Name,HoF,WAR,WAR7,JAWS,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+
Ray Durham,0,33.8,25.8,29.8,14,1995,2008,2,1975,8423,7408,1249,2054,440,79,192,875,273,97,820,1201,0.277,0.352,0.436,0.788,104
Craig Biggio,1,65.5,41.8,53.7,20,1988,2007,7,2850,12504,10876,1844,3060,668,55,291,1175,414,124,1160,1753,0.281,0.363,0.433,0.796,112
Todd Walker,0,10.5,9.8,10.2,12,1996,2007,0,1288,5055,4554,647,1316,284,30,107,545,66,37,421,571,0.289,0.348,0.435,0.783,98
Eric Young,0,18.8,16.8,17.8,15,1992,2006,1,1730,6996,6119,996,1731,327,46,79,543,465,168,660,462,0.283,0.359,0.39,0.749,92
Tony Womack,0,2.4,7.2,4.8,13,1993,2006,1,1303,5389,4963,739,1353,190,59,36,368,363,74,308,649,0.273,0.317,0.356,0.673,72
Bret Boone,0,22.8,25.1,24,14,1992,2005,3,1780,7433,6683,927,1775,366,28,252,1021,94,53,552,1295,0.266,0.325,0.442,0.767,101
Carlos Baerga,0,19.6,22,20.8,14,1990,2005,3,1630,5895,5439,731,1583,279,17,134,774,59,24,291,580,0.291,0.332,0.423,0.754,100
Roberto Alomar,1,67.1,42.9,55,17,1988,2004,12,2379,10400,9073,1508,2724,504,80,210,1134,474,114,1032,1140,0.3,0.371,0.443,0.814,116
Chuck Knoblauch,0,44.8,38.6,41.7,12,1991,2002,4,1632,7387,6366,1132,1839,322,64,98,615,407,117,804,730,0.289,0.378,0.406,0.783,106
Tony Phillips,0,50.9,34.1,42.5,18,1982,1999,0,2161,9110,7617,1300,2023,360,50,160,819,177,114,1319,1499,0.266,0.374,0.389,0.763,109
Juan Samuel,0,17,17.7,17.3,16,1983,1998,3,1720,6664,6081,873,1578,287,102,161,703,396,143,440,1442,0.259,0.315,0.42,0.735,101
Ryne Sandberg,1,68,47.1,57.5,16,1981,1997,10,2164,9282,8385,1318,2386,403,76,282,1061,344,107,761,1260,0.285,0.344,0.452,0.795,114
Robby Thompson,0,33.9,30.3,32.1,11,1986,1996,2,1304,5235,4612,671,1187,238,39,119,458,103,62,439,987,0.257,0.329,0.403,0.733,105
Lou Whitaker,0,75.1,37.9,56.5,19,1977,1995,5,2390,9967,8570,1386,2369,420,65,244,1084,143,75,1197,1099,0.276,0.363,0.426,0.789,117
Steve Sax,0,25.7,21.9,23.8,14,1981,1994,5,1769,7632,6940,913,1949,278,47,54,550,444,178,556,584,0.281,0.335,0.358,0.692,95
Willie Randolph,0,65.9,36.3,51.1,18,1975,1992,6,2202,9461,8018,1239,2210,316,65,54,687,271,94,1243,675,0.276,0.373,0.351,0.724,104
Frank White,0,34.8,23.6,29.2,18,1973,1990,5,2324,8468,7859,912,2006,407,58,160,886,178,83,412,1035,0.255,0.293,0.383,0.675,85
Johnny Ray,0,24.2,23,23.6,10,1981,1990,1,1353,5664,5188,604,1502,294,36,53,594,80,49,353,329,0.29,0.333,0.391,0.724,101
Manny Trillo,0,11.3,10.3,10.8,17,1973,1989,4,1780,6573,5950,598,1562,239,33,61,571,56,57,452,742,0.263,0.316,0.345,0.66,81
Phil Garner,0,29.7,23.3,26.5,16,1973,1988,3,1860,6861,6136,780,1594,299,82,109,738,225,105,564,842,0.26,0.323,0.389,0.711,99
Davey Lopes,0,42.4,30.2,36.3,16,1972,1987,4,1812,7340,6354,1023,1671,232,50,155,614,557,114,833,852,0.263,0.349,0.388,0.737,107
Bobby Grich,0,71.1,46.4,58.7,17,1970,1986,6,2008,8220,6890,1033,1833,320,47,224,864,104,83,1087,1278,0.266,0.371,0.424,0.794,125
Rod Carew,1,81.3,49.8,65.5,19,1967,1985,18,2469,10550,9315,1424,3053,445,112,92,1015,353,187,1018,1028,0.328,0.393,0.429,0.822,131
Rich Dauer,0,14.4,14.2,14.3,10,1976,1985,0,1140,4218,3829,448,984,193,3,43,372,6,13,297,219,0.257,0.31,0.343,0.653,83
Joe Morgan,1,100.6,59.3,79.9,22,1963,1984,10,2649,11329,9277,1650,2517,449,96,268,1133,689,162,1865,1015,0.271,0.392,0.427,0.819,132
Jerry Remy,0,14.6,13.5,14,10,1975,1984,1,1154,4963,4455,605,1226,140,38,7,329,208,99,356,404,0.275,0.327,0.328,0.656,82
Dave Cash,0,25.6,21.6,23.6,12,1969,1980,3,1422,6057,5554,732,1571,243,56,21,426,120,74,424,309,0.283,0.334,0.358,0.692,93
Davey Johnson,0,27.6,23.4,25.5,13,1965,1978,4,1435,5465,4797,564,1252,242,18,136,609,33,25,559,675,0.261,0.34,0.404,0.744,110
Felix Millan,0,17.6,17.9,17.7,12,1966,1977,3,1480,6325,5791,699,1617,229,38,22,403,67,43,318,242,0.279,0.322,0.343,0.665,87
Cookie Rojas,0,9.3,13.2,11.2,16,1962,1977,5,1822,6871,6309,713,1660,254,25,54,593,74,68,396,489,0.263,0.306,0.337,0.643,83
Tommy Helms,0,8.3,10.5,9.4,14,1964,1977,2,1435,5337,4997,414,1342,223,21,34,477,33,40,231,301,0.269,0.3,0.342,0.642,79
Tony Taylor,0,23.4,18.3,20.8,19,1958,1976,2,2195,8501,7680,1005,2007,298,86,75,598,234,111,613,1083,0.261,0.321,0.352,0.673,88
Dick McAuliffe,0,37.5,29.5,33.5,16,1960,1975,3,1763,7161,6185,888,1530,231,71,197,696,63,59,882,974,0.247,0.343,0.403,0.746,109
Glenn Beckert,0,15.6,17.1,16.4,11,1965,1975,4,1320,5572,5208,685,1473,196,31,22,360,49,25,260,243,0.283,0.318,0.345,0.663,82
Ron Hunt,0,32.8,25.6,29.2,12,1963,1974,2,1483,6158,5235,745,1429,223,23,39,370,65,55,555,382,0.273,0.368,0.347,0.715,105
Horace Clarke,0,15.6,15.3,15.5,10,1965,1974,0,1272,5242,4813,548,1230,150,23,27,304,151,58,365,362,0.256,0.308,0.313,0.621,83
Bernie Allen,0,9.4,9,9.2,12,1962,1973,0,1139,3823,3404,357,815,140,21,73,352,13,16,370,424,0.239,0.314,0.357,0.671,91
Bill Mazeroski,0,36.5,26,31.2,17,1956,1972,10,2163,8379,7755,769,2016,294,62,138,853,27,23,447,706,0.26,0.299,0.367,0.667,84
Bobby Richardson,0,8.2,10.4,9.3,12,1955,1966,8,1412,5780,5386,643,1432,196,37,34,390,73,48,262,243,0.266,0.299,0.335,0.634,77
Nellie Fox,0,49,36.8,42.9,19,1947,1965,15,2367,10351,9232,1279,2663,355,112,35,790,76,80,719,216,0.288,0.348,0.363,0.71,93
Red Schoendienst,0,42.3,31.7,37,19,1945,1963,10,2216,9224,8479,1223,2449,427,78,84,773,89,60,606,346,0.289,0.337,0.387,0.724,94
Billy Martin,0,2.9,7.2,5.1,11,1950,1961,1,1021,3716,3419,425,877,137,28,64,333,34,29,188,355,0.257,0.3,0.369,0.669,81
Gil McDougald,0,40.7,32.1,36.4,10,1951,1960,6,1336,5398,4676,697,1291,187,51,112,576,45,44,559,623,0.276,0.356,0.41,0.766,111
Bobby Doerr,0,51.2,36.4,43.8,14,1937,1951,9,1865,8028,7093,1094,2042,381,89,223,1247,54,64,809,608,0.288,0.362,0.461,0.823,115
Joe Gordon,0,57.2,45.8,51.5,11,1938,1950,9,1566,6535,5707,914,1530,264,52,253,975,89,60,759,702,0.268,0.357,0.466,0.822,120
Billy Herman,0,54.8,35.5,45.1,15,1931,1947,10,1922,8638,7707,1163,2345,486,82,47,839,67,16,737,428,0.304,0.367,0.407,0.774,112
Juan Francisco,0,0.9,0.9,0.9,6,2009,2014,0,404,1091,996,110,235,50,4,48,152,2,6,81,375,0.236,0.297,0.439,0.736,100
Chipper Jones,1,85.2,46.8,66,19,1993,2012,8,2499,10614,8984,1619,2726,549,38,468,1623,150,46,1512,1409,0.303,0.401,0.529,0.93,141
Melvin Mora,0,28.3,26,27.2,13,1999,2011,2,1556,6158,5422,794,1503,283,19,171,754,93,55,520,953,0.277,0.35,0.431,0.781,105
Casey Blake,0,24.9,22.2,23.6,13,1999,2011,0,1265,5091,4500,644,1186,264,18,167,616,36,37,445,1037,0.264,0.336,0.442,0.778,107
Troy Glaus,0,38,32.9,35.5,13,1998,2010,4,1537,6355,5410,889,1375,293,10,320,950,56,29,854,1377,0.254,0.358,0.489,0.847,119
Mike Lowell,0,24.9,23.5,24.2,13,1998,2010,4,1601,6500,5813,771,1619,394,7,223,952,30,14,548,817,0.279,0.342,0.464,0.805,108
Aaron Boone,0,13.5,15.2,14.4,12,1997,2009,1,1152,4333,3871,519,1017,216,17,126,555,107,30,303,707,0.263,0.326,0.425,0.751,94
Jeff Cirillo,0,34.5,30.5,32.5,14,1994,2007,2,1617,6136,5396,800,1598,343,21,112,727,63,37,563,694,0.296,0.366,0.43,0.796,102
Bill Mueller,0,23.9,19.7,21.8,11,1996,2006,0,1216,4886,4223,663,1229,265,22,85,493,20,18,543,571,0.291,0.373,0.425,0.797,109
Vinny Castilla,0,19.4,20.8,20.1,16,1991,2006,2,1854,7384,6822,902,1884,349,28,320,1105,33,43,423,1069,0.276,0.321,0.476,0.797,95
Phil Nevin,0,15.9,19.1,17.5,12,1995,2006,1,1217,4703,4188,584,1131,209,6,208,743,18,5,449,1019,0.27,0.343,0.472,0.814,114
Lenny Harris,0,1.7,7.1,4.4,18,1988,2005,0,1903,4289,3924,460,1055,161,21,37,369,131,54,279,337,0.269,0.318,0.349,0.667,80
Robin Ventura,0,56.1,38.7,47.4,16,1989,2004,2,2079,8271,7064,1006,1885,338,14,294,1182,24,38,1075,1179,0.267,0.362,0.444,0.806,114
Todd Zeile,0,19.5,15,17.2,16,1989,2004,0,2158,8649,7573,986,2004,397,23,253,1110,53,51,945,1279,0.265,0.346,0.423,0.769,104
Matt Williams,0,46.6,34,40.3,17,1987,2003,5,1866,7595,7000,997,1878,338,35,378,1218,53,35,469,1363,0.268,0.317,0.489,0.805,113
Travis Fryman,0,34.4,28.4,31.4,13,1990,2002,5,1698,7217,6481,895,1776,345,40,223,1022,72,38,602,1369,0.274,0.336,0.443,0.779,104
Ken Caminiti,0,33.5,29.8,31.7,15,1987,2001,3,1760,7127,6288,894,1710,348,17,239,983,88,39,727,1163,0.272,0.347,0.447,0.794,116
Bobby Bonilla,0,30.3,27.4,28.9,16,1986,2001,6,2113,8257,7213,1084,2010,408,61,287,1173,45,57,912,1204,0.279,0.358,0.472,0.829,124
Scott Brosius,0,15.7,15.9,15.8,11,1991,2001,1,1146,4356,3889,544,1001,200,8,141,531,57,30,348,699,0.257,0.323,0.422,0.744,94
Gary Gaetti,0,42.1,25.3,33.7,20,1981,2000,2,2507,9817,8951,1130,2280,443,39,360,1341,96,65,634,1602,0.255,0.308,0.434,0.741,97
Wade Boggs,1,91.4,56.4,73.9,18,1982,1999,12,2439,10740,9180,1513,3010,578,61,118,1014,24,35,1412,745,0.328,0.415,0.443,0.858,131
Paul Molitor,1,75.7,39.7,57.7,21,1978,1998,7,2683,12167,10835,1782,3319,605,114,234,1307,504,131,1094,1244,0.306,0.369,0.448,0.817,122
Terry Pendleton,0,28.5,25.4,26.9,15,1984,1998,1,1893,7637,7032,851,1897,356,39,140,946,127,59,486,979,0.27,0.316,0.391,0.707,92
Tim Wallach,0,38.5,30.6,34.6,17,1980,1996,5,2212,8908,8099,908,2085,432,36,260,1125,51,66,649,1307,0.257,0.316,0.416,0.732,102
Howard Johnson,0,22.2,23.1,22.6,14,1982,1995,2,1531,5715,4940,760,1229,247,22,228,760,231,77,692,1053,0.249,0.34,0.446,0.786,118
George Brett,1,88.7,53.3,71,21,1973,1993,13,2707,11625,10349,1583,3154,665,137,317,1596,201,97,1096,908,0.305,0.369,0.487,0.857,135
Carney Lansford,0,40.4,28.4,34.4,15,1978,1992,1,1862,7905,7158,1007,2074,332,40,151,874,224,104,553,719,0.29,0.343,0.411,0.753,111
Mike Schmidt,1,106.8,58.7,82.8,18,1972,1989,12,2404,10062,8352,1506,2234,408,59,548,1595,174,92,1507,1883,0.267,0.38,0.527,0.908,147
Buddy Bell,0,66.3,40.5,53.4,18,1972,1989,5,2405,10009,8995,1151,2514,425,56,201,1106,55,79,836,776,0.279,0.341,0.406,0.747,109
Darrell Evans,0,58.8,37.3,48.1,21,1969,1989,2,2687,10737,8973,1344,2223,329,36,414,1354,98,68,1605,1410,0.248,0.361,0.431,0.792,119
Graig Nettles,0,68,42.4,55.2,22,1967,1988,6,2700,10228,8986,1193,2225,328,28,390,1314,32,36,1088,1209,0.248,0.329,0.421,0.75,110
Bob Horner,0,21.9,19.1,20.5,10,1978,1988,1,1020,4213,3777,560,1047,169,8,218,685,14,18,369,512,0.277,0.34,0.499,0.839,127
Larry Parrish,0,15.7,15.8,15.7,15,1974,1988,2,1891,7451,6792,850,1789,360,33,256,992,30,36,529,1359,0.263,0.318,0.439,0.757,107
Ray Knight,0,13.3,15.9,14.6,13,1974,1988,2,1495,5291,4829,490,1311,266,27,84,595,14,25,343,579,0.271,0.321,0.39,0.711,99
Ron Cey,0,53.8,37.1,45.4,17,1971,1987,6,2073,8344,7162,977,1868,328,21,316,1139,24,29,1012,1235,0.261,0.354,0.445,0.799,121
Doug DeCinces,0,41.7,31.4,36.5,15,1973,1987,1,1649,6534,5809,778,1505,312,29,237,879,58,48,618,904,0.259,0.329,0.445,0.774,115
Bill Madlock,0,38.2,28.4,33.3,15,1973,1987,3,1806,7372,6594,920,2008,348,34,163,860,174,90,605,510,0.305,0.365,0.442,0.807,123
Toby Harrah,0,51.4,35.4,43.4,17,1969,1986,4,2155,8767,7402,1115,1954,307,40,195,918,238,94,1153,868,0.264,0.365,0.395,0.76,114
Richie Hebner,0,33,23.4,28.2,18,1968,1985,0,1908,7027,6144,865,1694,273,57,203,890,38,40,687,741,0.276,0.352,0.438,0.79,119
Art Howe,0,13.8,14.3,14.1,11,1974,1985,0,891,2954,2626,268,682,139,23,43,293,10,10,275,287,0.26,0.329,0.379,0.708,102
Roy Howell,0,10.9,11.4,11.2,11,1974,1984,1,1112,4181,3791,422,991,183,31,80,454,9,14,318,675,0.261,0.321,0.389,0.71,98
Don Money,0,36.5,27.6,32,16,1968,1983,4,1720,6998,6215,798,1623,302,36,176,729,80,51,600,866,0.261,0.328,0.406,0.734,106
Sal Bando,0,61.5,44.4,53,16,1966,1981,4,2019,8287,7060,982,1790,289,38,242,1039,75,46,1031,923,0.254,0.352,0.408,0.76,119
Bob Bailey,0,28.7,23.5,26.1,17,1962,1978,0,1931,7043,6082,772,1564,234,43,189,773,85,83,852,1126,0.257,0.347,0.403,0.75,111
Brooks Robinson,1,78.4,45.8,62.1,23,1955,1977,18,2896,11782,10654,1232,2848,482,68,268,1357,28,22,860,990,0.267,0.322,0.401,0.723,104
Dick Allen,0,58.7,45.9,52.3,15,1963,1977,7,1749,7315,6332,1099,1848,320,79,351,1119,133,52,894,1556,0.292,0.378,0.534,0.912,156
Ken McMullen,0,34,29.9,32,16,1962,1977,0,1583,5729,5131,568,1273,172,26,156,606,20,19,510,815,0.248,0.316,0.383,0.699,104
Doug Rader,0,24.4,19.6,22,11,1967,1977,0,1465,5832,5186,631,1302,245,39,155,722,37,33,528,1055,0.251,0.322,0.403,0.725,106
Bill Melton,0,18.7,18,18.3,10,1968,1977,1,1144,4558,3971,496,1004,162,9,160,591,23,24,479,669,0.253,0.337,0.419,0.756,112
Ron Santo,0,70.5,53.8,62.2,15,1960,1974,9,2243,9397,8143,1138,2254,365,67,342,1331,35,41,1108,1343,0.277,0.362,0.464,0.826,125
Paul Schaal,0,14.6,14.1,14.4,11,1964,1974,0,1128,4149,3555,436,869,132,26,57,323,43,38,516,466,0.244,0.341,0.344,0.686,99
Phil Gagliano,0,2.2,3.6,2.9,12,1963,1974,0,702,1605,1411,150,336,50,7,14,159,5,4,163,184,0.238,0.316,0.313,0.629,77
Clete Boyer,0,27.6,23.6,25.6,16,1955,1971,0,1725,6368,5780,645,1396,200,33,162,654,41,28,470,931,0.242,0.299,0.372,0.67,86
Ken Boyer,0,62.8,46.3,54.6,15,1955,1969,11,2034,8272,7455,1104,2143,318,68,282,1141,105,77,713,1017,0.287,0.349,0.462,0.81,116
Eddie Mathews,1,96.6,54.5,75.6,17,1952,1968,12,2391,10100,8537,1509,2315,354,72,512,1453,68,39,1444,1487,0.271,0.376,0.509,0.885,143
Grady Hatton,0,17.6,15.9,16.8,12,1946,1960,1,1312,4912,4206,562,1068,166,33,91,533,42,21,646,430,0.254,0.354,0.374,0.728,96
Bobby Adams,0,14.5,12.7,13.6,14,1946,1959,0,1281,4530,4019,591,1082,188,49,37,303,67,43,414,447,0.269,0.34,0.368,0.708,90
George Kell,0,37.4,27.7,32.6,15,1943,1957,10,1795,7529,6702,880,2054,385,50,78,870,51,36,621,287,0.306,0.367,0.414,0.781,112
Edgar Renteria,0,32.3,25.6,29,16,1996,2011,5,2152,9066,8142,1200,2327,436,29,140,923,294,108,718,1182,0.286,0.343,0.398,0.741,94
Carlos Guillen,0,27.7,24.2,26,14,1998,2011,3,1305,5277,4673,733,1331,266,51,124,660,74,47,510,804,0.285,0.355,0.443,0.798,111
Orlando Cabrera,0,21.4,20,20.7,15,1997,2011,0,1985,8255,7562,985,2055,459,32,123,854,216,57,514,745,0.272,0.317,0.39,0.707,84
David Eckstein,0,20.9,19,20,10,2001,2010,2,1311,5705,5041,701,1414,232,20,35,392,123,45,376,418,0.28,0.345,0.355,0.701,87
Nomar Garciaparra,0,44.2,43.1,43.7,14,1996,2009,6,1434,6116,5586,927,1747,370,52,229,936,95,31,403,554,0.313,0.361,0.521,0.882,124
Rich Aurilia,0,18.2,16.8,17.5,15,1995,2009,1,1652,6278,5721,745,1576,301,22,186,756,23,18,450,861,0.275,0.328,0.433,0.762,99
Royce Clayton,0,19.6,17.4,18.5,17,1991,2007,1,2108,8164,7379,935,1904,363,55,110,723,231,100,565,1415,0.258,0.312,0.367,0.679,78
Barry Larkin,1,70.4,43.3,56.9,19,1986,2004,12,2180,9057,7937,1329,2340,441,76,198,960,379,77,939,817,0.295,0.371,0.444,0.815,116
Jay Bell,0,37.2,31.6,34.4,18,1986,2003,2,2063,8525,7398,1123,1963,394,67,195,860,91,60,853,1443,0.265,0.343,0.416,0.759,101
Shawon Dunston,0,11.5,11,11.2,18,1985,2002,2,1814,6276,5927,736,1597,292,62,150,668,212,82,203,1000,0.269,0.296,0.416,0.712,89
Cal Ripken,1,95.9,56.3,76.1,21,1981,2001,19,3001,12883,11551,1647,3184,603,44,431,1695,36,39,1129,1305,0.276,0.34,0.447,0.788,112
Tony Fernandez,0,45.3,30.5,37.9,17,1983,2001,5,2158,8793,7911,1057,2276,414,92,94,844,246,138,690,784,0.288,0.347,0.399,0.746,101
Ozzie Guillen,0,20.9,19.3,20.1,16,1985,2000,3,1993,7133,6686,773,1764,275,69,28,619,169,108,239,511,0.264,0.287,0.338,0.626,69
Walt Weiss,0,16.5,16.1,16.3,14,1987,2000,1,1495,5516,4686,623,1207,182,31,25,386,96,35,658,658,0.258,0.351,0.326,0.677,78
Gary Disarcina,0,11.2,11.6,11.4,12,1989,2000,1,1086,4032,3744,444,966,186,20,28,355,47,44,154,306,0.258,0.292,0.341,0.633,66
Ozzie Smith,1,76.9,42.5,59.7,19,1978,1996,15,2573,10778,9396,1257,2460,402,69,28,793,580,148,1072,589,0.262,0.337,0.328,0.666,87
Alan Trammell,0,70.7,44.8,57.8,20,1977,1996,6,2293,9376,8288,1231,2365,412,55,185,1003,236,109,850,874,0.285,0.352,0.415,0.767,110
Hubie Brooks,0,13,17.3,15.1,15,1980,1994,2,1645,6476,5974,656,1608,290,31,149,824,64,56,387,1005,0.269,0.315,0.403,0.717,100
Robin Yount,1,77.3,47.3,62.3,20,1974,1993,3,2856,12249,11008,1632,3142,583,126,251,1406,271,105,966,1350,0.285,0.342,0.43,0.772,115
