Name,HoF,WAR,WAR7,JAWS,Yrs,From,To,ASG,W,L,W-L%,ERA,ERA+,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
Johan Santana,0,51.6,45,48.3,12,2000,2012,4,139,78,0.641,3.2,136,360,284,23,15,10,1,2025.2,1726,773,721,220,567,13,1988,36,12,68,8262
Jamie Moyer,0,49.9,32.9,41.4,25,1986,2012,1,269,209,0.563,4.25,103,696,638,15,33,10,0,4074,4231,2076,1926,522,1155,69,2441,146,12,57,17356
Carlos Zambrano,0,44,38.4,41.2,12,2001,2012,3,132,91,0.592,3.66,120,354,302,11,10,5,0,1959,1709,879,797,161,898,41,1637,102,5,58,8389
Chris Carpenter,0,34.1,29.4,31.8,15,1997,2012,3,144,94,0.605,3.76,116,350,332,6,33,15,0,2219.1,2205,1021,927,220,627,23,1697,85,3,51,9305
Livan Hernandez,0,30.2,27.5,28.9,17,1996,2012,2,178,177,0.501,4.44,95,519,474,17,50,9,1,3189,3525,1686,1572,362,1066,86,1976,78,13,41,13816
Kevin Millwood,0,29.8,24.9,27.4,16,1997,2012,1,169,152,0.526,4.11,106,451,443,3,22,6,0,2720.1,2770,1357,1243,296,843,46,2083,74,4,67,11616
Tim Wakefield,0,34.3,24.7,29.5,19,1992,2011,1,200,180,0.526,4.41,105,627,463,78,33,6,22,3226.1,3152,1791,1582,418,1205,33,2156,186,8,134,13939
Mike Hampton,0,28.3,25.3,26.8,16,1993,2010,2,148,115,0.563,4.06,107,419,355,12,21,9,1,2268.1,2370,1157,1024,200,901,49,1387,49,13,75,9824
Randy Johnson,1,101.1,61.5,81.3,22,1988,2009,10,303,166,0.646,3.29,135,618,603,7,100,37,2,4135.1,3346,1703,1513,411,1497,37,4875,190,33,109,17067
Pedro Martinez,1,84,58.3,71.2,18,1992,2009,8,219,100,0.687,2.93,154,476,409,23,46,17,3,2827.1,2221,1006,919,239,760,30,3154,141,6,62,11394
John Smoltz,1,69.1,38.8,53.9,21,1988,2009,8,213,155,0.579,3.33,125,723,481,204,53,16,154,3473,3074,1391,1284,288,1010,84,3084,57,16,145,14271
Jason Schmidt,0,29.6,27.2,28.4,14,1995,2009,3,130,96,0.575,3.96,110,323,314,1,20,9,0,1996.1,1846,958,878,184,792,35,1758,52,11,93,8532
Greg Maddux,1,106.7,56.3,81.5,23,1986,2008,8,355,227,0.61,3.16,132,744,740,3,109,35,0,5008.1,4726,1981,1756,353,999,177,3371,137,28,70,20421
Tom Glavine,1,80.8,44.2,62.5,22,1987,2008,10,305,203,0.6,3.54,118,682,682,0,56,25,0,4413.1,4298,1900,1734,356,1500,145,2607,66,7,65,18604
Kenny Rogers,0,50.7,35.2,43,20,1989,2008,4,219,156,0.584,4.27,107,762,474,133,36,9,28,3302.2,3457,1739,1568,339,1175,53,1968,127,23,79,14280
David Wells,0,53.6,31.5,42.5,21,1987,2007,3,239,157,0.604,4.13,108,660,489,65,54,12,13,3439,3635,1702,1578,407,719,65,2201,83,17,101,14413
Woody Williams,0,30.3,22,26.1,15,1993,2007,1,132,116,0.532,4.19,103,424,330,34,10,2,0,2216.1,2217,1096,1031,309,711,40,1480,72,6,58,9475
Brad Radke,0,45.4,36.2,40.8,12,1995,2006,1,148,139,0.516,4.22,113,378,377,0,37,10,0,2451,2643,1233,1150,326,445,12,1467,62,3,28,10244
Kevin Brown,0,68,45.2,56.6,19,1986,2005,6,211,144,0.594,3.28,127,486,476,1,72,17,0,3256.1,3079,1357,1185,208,901,42,2397,139,15,108,13542
Al Leiter,0,40.1,32.5,36.3,19,1987,2005,2,162,132,0.551,3.8,112,419,382,9,16,10,2,2391,2152,1101,1010,198,1163,53,1974,117,20,63,10334
Kevin Appier,0,54.7,43.2,48.9,16,1989,2004,1,169,137,0.552,3.74,121,414,402,2,34,12,0,2595.1,2425,1168,1078,232,933,51,1994,79,7,106,10958
Pat Hentgen,0,32.7,30.6,31.6,14,1991,2004,3,131,112,0.539,4.32,108,344,306,15,34,10,1,2075.1,2111,1076,996,269,775,29,1290,49,10,66,8925
David Cone,0,62.4,43.5,52.9,17,1986,2003,5,194,126,0.606,3.46,121,450,419,9,56,22,1,2898.2,2504,1222,1115,258,1137,42,2668,106,32,149,12184
Chuck Finley,0,58.1,39.6,48.9,17,1986,2002,5,200,173,0.536,3.85,115,524,467,24,63,15,0,3197.1,3069,1517,1366,304,1332,36,2610,76,22,130,13638
Jose Rijo,0,36.6,37.4,37,14,1984,2002,1,116,91,0.56,3.24,121,376,269,43,22,4,3,1880,1710,772,676,147,663,34,1606,28,28,30,7867
Todd Stottlemyre,0,23,20.8,21.9,14,1988,2002,0,138,121,0.533,4.28,100,372,339,12,25,6,1,2191.2,2200,1130,1042,246,816,49,1587,83,10,64,9441
Darryl Kile,0,20.2,21.1,20.7,12,1991,2002,3,133,119,0.528,4.12,104,359,331,8,28,9,0,2165.1,2135,1099,992,214,918,41,1668,117,19,97,9429
Bret Saberhagen,0,59,43.3,51.1,16,1984,2001,3,167,117,0.588,3.34,126,399,371,13,76,16,1,2562.2,2452,1036,952,218,471,34,1715,59,12,53,10421
Orel Hershiser,0,56.3,40.1,48.2,18,1983,2000,3,204,150,0.576,3.48,112,510,466,19,68,25,5,3130.1,2939,1366,1211,235,1007,108,2014,117,23,121,13150
Dwight Gooden,0,53,39,46,16,1984,2000,4,194,112,0.634,3.51,111,430,410,4,68,24,3,2800.2,2564,1198,1091,210,954,42,2293,78,33,76,11705
Alex Fernandez,0,28.6,26.9,27.7,10,1990,2000,0,107,87,0.552,3.74,115,263,261,1,33,10,0,1760.1,1693,804,731,190,552,29,1252,35,2,38,7370
Mark Langston,0,50.3,41.4,45.9,16,1984,1999,4,179,158,0.531,3.97,107,457,428,3,81,18,0,2962.2,2723,1438,1306,311,1289,34,2464,46,22,89,12562
Tom Candiotti,0,41.3,34,37.6,16,1983,1999,0,151,164,0.479,3.73,108,451,410,11,68,11,0,2725,2662,1299,1130,250,883,31,1735,85,27,120,11568
Jack McDowell,0,28,25.1,26.5,12,1987,1999,3,127,87,0.593,3.85,111,277,275,0,62,13,0,1889,1854,874,809,173,606,29,1311,48,5,63,7966
Jim Abbott,0,19.7,22.6,21.1,10,1989,1999,0,87,108,0.446,4.25,99,263,254,5,31,6,0,1674,1779,880,791,154,620,30,888,32,11,53,7211
Dave Stieb,0,56.7,44.6,50.7,16,1979,1998,7,176,137,0.562,3.44,122,443,412,14,103,30,3,2895.1,2572,1225,1106,225,1034,36,1669,129,14,51,12072
Jimmy Key,0,49.1,36.6,42.9,15,1984,1998,5,186,117,0.614,3.51,122,470,389,28,34,13,10,2591.2,2518,1104,1010,254,668,29,1538,38,12,50,10719
Dennis Martinez,0,49,33.4,41.2,23,1976,1998,4,245,193,0.559,3.7,106,692,562,51,122,30,8,3999.2,3897,1835,1643,372,1165,71,2149,122,30,83,16754
Danny Darwin,0,39.8,27.3,33.6,21,1978,1998,0,171,182,0.484,3.84,106,716,371,171,53,9,32,3016.2,2951,1431,1286,321,874,101,1942,81,17,52,12716
Doug Drabek,0,29.3,26.7,28,13,1986,1998,1,155,134,0.536,3.73,101,398,387,4,53,21,0,2535,2448,1141,1052,246,704,56,1594,53,6,80,10518
Bob Tewksbury,0,20.9,20.9,20.9,13,1986,1998,1,110,102,0.519,3.92,104,302,277,8,31,7,1,1807,2043,884,787,142,292,22,812,41,7,24,7623
Fernando Valenzuela,0,41.6,33.6,37.6,17,1980,1997,6,173,153,0.531,3.54,104,453,424,10,113,31,2,2930,2718,1303,1154,226,1151,65,2074,25,11,119,12398
Sid Fernandez,0,32.8,25.8,29.3,15,1983,1997,2,114,96,0.543,3.36,111,307,300,2,25,9,1,1866.2,1421,749,696,191,715,33,1743,41,19,22,7668
Danny Jackson,0,17.3,23.4,20.3,15,1983,1997,2,112,131,0.461,4.01,100,353,324,11,44,15,1,2072.2,2110,1061,923,133,816,39,1225,50,12,47,8986
Frank Viola,0,47.2,41.3,44.3,15,1982,1996,3,176,150,0.54,3.73,112,421,420,0,74,16,0,2836.1,2827,1303,1175,294,864,39,1844,48,12,86,11933
Scott Sanderson,0,27.8,20.7,24.3,19,1978,1996,1,163,143,0.533,3.84,102,472,407,18,43,14,5,2561.2,2590,1209,1093,297,625,51,1611,43,22,39,10709
Dave Stewart,0,26.5,24.1,25.3,16,1978,1995,1,168,129,0.566,3.95,100,523,348,87,55,9,19,2629.2,2499,1259,1154,264,1034,46,1741,62,23,119,11251
Jack Morris,0,43.9,32.7,38.3,18,1977,1994,5,254,186,0.577,3.9,105,549,527,10,175,28,0,3824,3567,1815,1657,389,1390,99,2478,58,27,206,16120
Bob Welch,0,43.8,30.2,37,17,1978,1994,2,211,146,0.591,3.47,106,506,462,20,61,28,8,3092,2894,1310,1191,267,1034,60,1969,79,45,55,12956
Charlie Hough,0,38.5,28.5,33.5,25,1970,1994,1,216,216,0.5,3.75,106,858,440,240,107,13,61,3801.1,3283,1807,1582,383,1665,44,2362,174,42,179,16170
Rick Sutcliffe,0,34,31.1,32.5,18,1976,1994,3,171,139,0.552,4.08,97,457,392,30,72,18,6,2697.2,2662,1324,1223,236,1081,75,1679,46,38,100,11548
Bruce Hurst,0,34.3,30.3,32.3,15,1980,1994,1,145,113,0.562,3.92,104,379,359,5,83,23,0,2417.1,2463,1143,1052,258,740,42,1689,28,19,56,10204
Bill Gullickson,0,23.5,17.7,20.6,14,1979,1994,0,162,136,0.544,3.93,98,398,390,3,54,11,0,2560,2659,1228,1118,282,622,82,1279,34,8,56,10744
Nolan Ryan,1,81.8,43.3,62.5,27,1966,1993,8,324,292,0.526,3.19,112,807,773,13,222,61,3,5386,3923,2178,1911,321,2795,78,5714,158,33,277,22575
Frank Tanana,0,57.6,38.3,48,21,1973,1993,3,240,236,0.504,3.66,106,638,616,10,143,34,1,4188.1,4063,1910,1704,448,1255,116,2773,129,27,119,17641
John Candelaria,0,42.1,30.9,36.5,19,1975,1993,1,177,122,0.592,3.33,114,600,356,82,54,13,29,2525.2,2399,1038,935,245,592,63,1673,37,26,28,10366
Charlie Leibrandt,0,33.5,30.2,31.9,14,1979,1993,0,140,119,0.541,3.71,108,394,346,17,52,18,2,2308,2390,1068,952,172,656,44,1121,37,31,63,9774
Mike Boddicker,0,31.4,28.4,29.9,14,1980,1993,1,134,116,0.536,3.8,108,342,309,15,63,16,3,2123.2,2082,992,897,188,721,39,1330,87,8,60,8999
Mike Witt,0,21.8,21.5,21.7,12,1981,1993,2,117,116,0.502,3.83,105,341,299,22,72,11,6,2108.1,2066,1012,898,183,713,40,1373,55,5,73,8927
Bert Blyleven,1,95,50.6,72.8,22,1970,1992,2,287,250,0.534,3.31,118,692,685,3,242,60,0,4970,4632,2029,1830,430,1322,71,3701,155,19,114,20491
Mike Flanagan,0,26,18.9,22.5,18,1975,1992,1,167,143,0.539,3.9,100,526,404,49,101,19,4,2770,2806,1301,1199,251,890,41,1491,41,12,84,11684
Rick Reuschel,0,69.7,43.8,56.7,19,1972,1991,3,214,191,0.528,3.37,114,557,529,16,102,26,5,3548.1,3588,1494,1330,221,935,117,2015,88,10,89,14888
Mike Scott,0,22.9,26.3,24.6,13,1979,1991,3,124,108,0.534,3.54,100,347,319,13,45,22,3,2068.2,1858,908,813,173,627,53,1469,33,19,39,8571
John Tudor,0,34.3,30.4,32.4,12,1979,1990,0,117,72,0.619,3.12,124,281,263,5,50,16,1,1797,1677,700,623,156,475,32,988,29,10,18,7368
Jerry Reuss,0,35.3,29.4,32.4,22,1969,1990,2,220,191,0.535,3.64,100,628,547,41,127,39,11,3669.2,3734,1700,1483,245,1127,118,1907,59,23,107,15582
Bob Knepper,0,22,22.4,22.2,15,1976,1990,2,146,155,0.485,3.68,95,445,413,10,78,30,1,2708,2737,1258,1106,228,857,78,1473,47,13,60,11488
Tommy John,0,62,34.7,48.4,26,1963,1989,4,288,231,0.555,3.34,111,760,700,22,162,46,3,4710.1,4783,2017,1749,302,1259,102,2245,98,16,187,19692
Rick Rhoden,0,35.4,30.1,32.8,16,1974,1989,2,151,125,0.547,3.59,104,413,380,14,69,17,1,2593.2,2606,1143,1036,198,801,62,1419,39,31,80,10900
Doyle Alexander,0,35,29.6,32.3,19,1971,1989,1,194,174,0.527,3.76,103,561,464,56,98,18,3,3367.2,3376,1541,1406,324,978,60,1528,53,10,74,14162
Bob Forsch,0,24.7,22.2,23.4,16,1974,1989,0,168,136,0.553,3.76,98,498,422,19,67,19,3,2794.2,2777,1319,1169,216,832,84,1133,45,18,93,11715
Mike Krukow,0,24.2,19.9,22.1,14,1976,1989,1,124,117,0.515,3.9,96,369,355,4,41,10,1,2190.2,2188,1069,949,196,767,84,1478,47,22,71,9393
Steve Carlton,1,90.5,54.4,72.4,24,1965,1988,10,329,244,0.574,3.22,115,741,709,13,254,55,2,5217.2,4672,2130,1864,414,1833,150,4136,53,90,183,21683
Don Sutton,1,67,34,50.5,23,1966,1988,4,324,256,0.559,3.26,108,774,756,12,178,58,5,5282.1,4692,2104,1914,472,1343,102,3574,82,21,112,21631
Ron Guidry,0,48.1,38.2,43.2,14,1975,1988,4,170,91,0.651,3.29,119,368,323,23,95,26,4,2392,2198,953,874,226,633,24,1778,13,8,56,9794
Mario Soto,0,25.7,26.9,26.3,12,1977,1988,3,100,92,0.521,3.47,108,297,224,20,72,13,4,1730.1,1395,732,667,172,657,50,1449,28,20,37,7147
Joe Niekro,0,29.8,21.7,25.8,22,1967,1988,1,221,204,0.52,3.59,98,702,500,93,107,29,16,3584.1,3466,1620,1431,276,1262,71,1747,65,8,172,15166
Scott McGregor,0,20.2,20.5,20.4,13,1976,1988,1,138,108,0.561,3.99,98,356,309,24,83,23,5,2140.2,2245,1031,949,235,518,26,904,26,12,28,8982
Phil Niekro,1,96.2,54.4,75.3,24,1964,1987,5,318,274,0.537,3.35,115,864,716,83,245,45,29,5404,5044,2337,2012,482,1809,86,3342,123,42,226,22677
Tom Seaver,1,110.1,59.4,84.8,20,1967,1986,12,311,205,0.603,2.86,127,656,647,6,231,61,1,4783,3971,1674,1521,380,1390,116,3640,76,8,126,19369
Vida Blue,0,45.4,38.5,41.9,17,1969,1986,6,209,161,0.565,3.27,108,502,473,11,143,37,2,3343.1,2939,1357,1213,263,1185,61,2175,23,13,103,13837
John Denny,0,32.3,29.7,31,13,1974,1986,0,123,108,0.532,3.59,105,325,322,0,62,18,0,2148.2,2093,967,856,137,778,49,1146,54,12,68,9077
Dennis Leonard,0,26,24.2,25.1,12,1974,1986,0,144,106,0.576,3.7,107,312,302,3,103,23,1,2187,2137,1008,898,202,622,39,1323,52,6,73,9149
Ken Forsch,0,26.1,21.1,23.6,16,1970,1986,2,114,113,0.502,3.37,106,521,241,177,70,18,51,2127.1,2071,881,796,155,586,68,1047,47,7,43,8852
Jerry Koosman,0,53.9,36.6,45.2,19,1967,1985,2,222,209,0.515,3.36,110,612,527,43,140,33,17,3839.1,3635,1608,1433,290,1198,121,2556,71,29,89,15996
Steve Rogers,0,44.9,36.9,40.9,13,1973,1985,5,158,152,0.51,3.17,116,399,393,3,129,37,2,2837.2,2619,1122,1001,151,876,75,1621,43,8,87,11702
Burt Hooton,0,35.7,29.9,32.8,15,1971,1985,1,151,136,0.526,3.38,108,480,377,35,86,29,7,2652,2497,1112,996,193,799,58,1491,20,4,62,11025
Larry Gura,0,21.4,20.8,21.1,16,1970,1985,1,126,97,0.565,3.76,106,403,261,60,71,16,14,2047,2020,958,855,204,600,38,801,46,3,27,8596
Geoff Zahn,0,20.5,20.9,20.7,13,1973,1985,0,111,109,0.505,3.74,107,304,270,13,79,20,1,1849,1978,889,769,149,526,28,705,19,4,32,7798
Jim Palmer,1,68.9,47.7,58.3,19,1965,1984,6,268,152,0.638,2.86,125,558,521,15,211,53,4,3948,3349,1395,1253,303,1311,37,2212,38,11,85,16114
Mike Torrez,0,23.2,20.9,22,18,1967,1984,0,185,160,0.536,3.96,98,494,458,13,117,15,0,3043.2,3043,1501,1340,223,1371,84,1404,59,11,103,13179
Paul Splittorff,0,23.3,19,21.1,15,1970,1984,0,166,143,0.537,3.81,101,429,392,13,88,17,1,2554.2,2644,1243,1082,192,780,41,1057,34,5,41,10829
Gaylord Perry,1,90.4,52.5,71.5,22,1962,1983,5,314,265,0.542,3.11,117,777,690,33,303,53,10,5350,4938,2128,1846,399,1379,164,3534,108,6,160,21953
Fergie Jenkins,1,84.4,51.4,67.9,19,1965,1983,3,284,226,0.557,3.34,115,664,594,37,267,49,7,4500.2,4142,1853,1669,484,997,116,3192,84,18,62,18400
Jim Kaat,0,50.7,38.3,44.5,25,1959,1983,3,283,237,0.544,3.45,108,898,625,102,180,31,17,4530.1,4620,2038,1738,395,1083,116,2461,122,6,128,19023
Jon Matlack,0,39.5,36.9,38.2,13,1971,1983,3,125,126,0.498,3.18,114,361,318,23,97,30,3,2363,2276,970,835,161,638,69,1516,26,9,68,9789
Jim Barr,0,30.6,29,29.8,12,1971,1983,0,101,112,0.474,3.56,105,454,252,75,64,20,12,2065.1,2170,908,816,161,469,74,741,30,14,22,8612
Dave Goltz,0,22.9,25.4,24.2,12,1972,1983,0,113,109,0.509,3.69,105,353,264,39,83,13,8,2039.2,2104,950,836,149,646,28,1105,26,10,62,8628
